codigo;categoria;marca;nuevo;descuento;producto;precio;inventario
412669;5;15;0;0;LLANTA 90X90X18 TL PIS SILICA CHAOYANG HA BICICLETAS  XXX602;149000;4
412671;5;3;0;0;LLANTA 130X70X17 TL PIS CHAOYANG HA BICICLETAS  XXX405;179000;5
412673;5;21;0;0;LLANTA 130X70X17 TL LAG CHAOYANG HA BICICLETAS;245000;1
412680;5;29;0;0;LLANTA 250X17 TT LAG TRAZANO HA BICICLETAS;80000;3
412688;5;25;0;0;LLANTA 275X17 TT TRE TRAZANO HA BICICLETAS;86000;3
412689;5;20;0;0;LLANTA 300X17 TT TRE TRAZANO HA BICICLETAS  XXX215;98000;5
412691;5;15;0;0;LLANTA 300X18 TT MOR TRAZANO HA BICICLETAS;115000;1
412697;5;17;0;0;LLANTA 100X90X17 TL LAG TRAZANO HA BICICLETAS;175000;2
412698;5;25;0;0;LLANTA 110X80X17 TL LAG TRAZANO HA BICICLETAS;179000;2
412699;5;24;0;0;LLANTA 120X80X17 TL LAG TRAZANO HA BICICLETAS  XXX503;179000;3
412700;5;19;0;0;LLANTA 130X70X17 TL LAG TRAZANO HA BICICLETAS  XXX481;198000;1
412710;5;17;0;0;LLANTA 350X16 TT LAG CHAOYANG HA BICICLETAS  XXX262;119000;3
412712;5;3;0;0;LLANTA 100X80X18 TL LAG CHAOYANG HA BICICLETAS  XXX265;135000;1
412730;5;27;0;0;LLANTA 275X17 TT LAG BEST TIRE HA BICICLETAS  XXX206;85000;3
412731;5;14;0;0;LLANTA 275X17 TT MOR BEST HA BICICLETAS  XXX664;85000;6
412734;5;17;0;0;LLANTA 300X17 TT LAGARTO BEST TIRE DX 025 HA BICICLETAS;85000;1
412735;5;21;0;0;LLANTA 300X17 TT MOR HA BICICLETAS  XXX234;85000;3
412738;5;5;0;0;LLANTA 90X90X17 TL PIS BEST TIRE HA BICICLETAS  XXX656;109000;1
412740;5;26;0;0;LLANTA 250X18 TT PIS BEST TIRE HA BICICLETAS;69000;2
412753;5;4;0;0;LLANTA 410X18 TT MOR BEST TIRE HA BICICLETA  XXX572;129000;2
412754;5;27;0;0;LLANTA 410X18 TT LAG  BEST TIRE HA BICICLETAS  XXX119;125000;18
412756;5;20;0;0;LLANTA 90X90X21 TT LAG BEST TIRE HA BICICLETA  XXX257;135000;4
412760;5;16;0;0;LLANTA 110X90X16 TL PIS BEST TIRE HA BICICLETAS  XXX82;155000;3
